Ship_name,Cruise_line,Age,cabins,crew,passengers,length,passenger_density,gross_tonnage
Journey,Azamara,6,3.55,3.55,6.94,5.94,42.64,30.277
Quest,Azamara,6,3.55,3.55,6.94,5.94,42.64,30.277
Celebration,Carnival,26,7.43,6.7,14.86,7.22,31.8,47.262
Conquest,Carnival,11,14.88,19.1,29.74,9.53,36.99,110
Destiny,Carnival,17,13.21,10,26.42,8.92,38.36,101.353
Ecstasy,Carnival,22,10.2,9.2,20.52,8.55,34.29,70.367
Elation,Carnival,15,10.2,9.2,20.52,8.55,34.29,70.367
Fantasy,Carnival,23,10.22,9.2,20.56,8.55,34.23,70.367
Fascination,Carnival,19,10.2,9.2,20.52,8.55,34.29,70.367
Freedom,Carnival,6,14.87,11.5,37,9.51,29.79,110.239
Glory,Carnival,10,14.87,11.6,29.74,9.51,36.99,110
Holiday,Carnival,28,7.26,6.6,14.52,7.27,31.72,46.052
Imagination,Carnival,18,10.2,9.2,20.52,8.55,34.29,70.367
Inspiration,Carnival,17,10.2,9.2,20.52,8.55,34.29,70.367
Legend,Carnival,11,10.62,9.3,21.24,9.63,40.49,86
Liberty*,Carnival,8,14.87,11.6,29.74,9.51,36.99,110
Miracle,Carnival,9,10.62,10.3,21.24,9.63,41.67,88.5
Paradise,Carnival,15,10.2,9.2,20.52,8.55,34.29,70.367
Pride,Carnival,12,11.62,9.3,21.24,9.63,41.67,88.5
Sensation,Carnival,20,10.2,9.2,20.52,8.55,34.29,70.367
Spirit,Carnival,12,10.56,10.29,21.24,9.63,41.67,88.5
Triumph,Carnival,14,13.21,10,27.58,8.93,36.81,101.509
Valor,Carnival,9,14.87,11.6,29.74,9.52,36.99,110
Victory,Carnival,13,13.79,11.5,27.58,8.93,36.81,101.509
Century,Celebrity,18,8.75,8.58,17.7,8.15,39.89,70.606
Constellation,Celebrity,11,9.75,9.99,20.32,9.65,44.78,91
Galaxy,Celebrity,17,9.35,9.09,18.9,8.66,41.12,77.713
Infinity,Celebrity,12,9.75,9.99,20.32,9.65,44.78,91
Mercury,Celebrity,16,9.35,9.09,18.82,8.66,41.29,77.713
Millenium,Celebrity,13,9.75,9.99,20.32,9.65,44.78,91
Solstice,Celebrity,5,6.87,6.7,28.5,10.33,34.57,122
Summit,Celebrity,12,9.75,9.99,20.32,9.65,44.78,91
Xpedition,Celebrity,12,0.45,0.6,0.94,2.96,24.78,2.329
Zenith,Celebrity,21,6.87,6.7,13.66,6.82,34.57,47.225
Allegra,Costa,21,4.1,4,8.08,6.16,35.19,28.43
Atlantica,Costa,13,10.56,9.2,21.14,9.57,40.5,85.619
Classica,Costa,22,6.54,6.17,13.02,7.18,40.65,52.926
Europa,Costa,27,7.67,6.36,14.94,7.98,36.06,53.872
Fortuna,Costa,10,13.56,10.68,27.2,8.9,38.6,105
Magica,Costa,9,13.56,10.68,27.2,8.9,38.6,105
Marina,Costa,23,3.86,3.85,7.76,6.22,32.22,25
Mediterranea,Costa,10,10.56,9.2,21.14,9.6,40.68,86
Romantica,Costa,20,6.78,6,13.44,7.22,39.47,53.049
Serena,Costa,6,15,10.9,38,9.51,29.47,112
Victoria,Costa,17,9.64,7.66,19.28,8.28,38.99,75.166
Serenity,Crystal,10,5.5,6.36,10.8,7.9,62.96,68
Symphony,Crystal,18,4.8,5.45,9.4,7.81,54.26,51.004
QueenElizabethII,Cunard,44,9.5,9.21,17.91,9.63,39.27,70.327
QueenMary2,Cunard,10,11.34,12.53,26.2,11.32,57.79,151.4
QueenVictoria,Cunard,6,10.29,9,20,9.64,45,90
Magic,Disney,15,8.75,9.45,17.5,9.64,47.62,83.338
Wonder,Disney,14,8.75,9.45,17.5,9.64,47.43,83
Amsterdam,Holland_American,13,6.88,6,13.8,7.8,44.2,61
Eurodam,Holland_American,5,10.22,8,21.04,9.36,40.87,86
Maasdam,Holland_American,20,6.32,5.57,12.64,7.19,43.87,55.451
Noordam,Holland_American,29,6.07,5.3,12.14,7.04,27.94,33.92
Oosterdam,Holland_American,10,9.24,8.42,18.48,9.59,44.25,81.769
Prinsendam,Holland_American,25,3.96,4.6,7.49,6.74,50.73,38
Rotterdam,Holland_American,16,6.6,6.44,13.2,7.77,45.19,59.652
Ryndam,Holland_American,19,6.33,5.88,12.66,7.19,43.8,55.451
Statendam,Holland_American,20,6.33,5.88,12.66,7.19,43.8,55.451
Veendam,Holland_American,17,6.33,5.88,12.66,7.19,43.8,55.451
Volendam,Holland_American,14,7.2,5.61,14.4,7.77,43.75,63
Westerdam,Holland_American,27,7.47,6.12,14.94,7.98,36.06,53.872
Zaandam,Holland_American,13,7.2,5.31,14.4,7.77,43.75,63
Zuiderdam,Holland_American,11,9.24,8,18.48,9.51,46,85
Armonia,MSC,12,7.83,7,15.66,8.24,37.42,58.6
Fantasia,MSC,5,16.37,13.13,39.59,10.93,33.72,133.5
Lirica,MSC,10,7.65,7,15.6,8.23,37.71,58.825
Melody,MSC,31,5.32,5.35,12.5,6.69,28.11,35.143
Musica,MSC,7,12.75,9.87,25.5,9.61,35.14,89.6
Opera,MSC,9,8.5,7.4,17,7.63,34.74,59.058
Rhapsody,MSC,36,3.83,2.97,9.52,5.41,17.7,16.852
Sinfonia,MSC,11,7.83,7.6,15.66,8.23,37.42,58.6
Crown,Norwegian,25,5.26,4.7,10.52,6.15,32.56,34.25
Dawn,Norwegian,11,11.2,11,22.4,9.65,40.18,90
Dream,Norwegian,21,8.74,6.14,17.48,7.54,29.04,50.76
Gem,Norwegian,6,11.97,11.09,23.94,9.65,38.85,93
Jewel,Norwegian,8,11.22,11,22.44,9.65,40.55,91
Majesty,Norwegian,21,5.28,4.38,10.56,5.67,35.98,38
PrideofAloha,Norwegian,14,10.01,8,20.02,8.53,38.51,77.104
PrideofAmerica,Norwegian,9,10.72,10,21.44,9.21,37.78,81
Sea,Norwegian,25,7.52,6.3,15.04,7.08,27.93,42
Spirit,Norwegian,15,9.83,13,19.56,8.79,38.52,75.338
Star,Norwegian,40,4,3.8,11.5,6.74,24.35,28
Sun,Norwegian,12,10.01,9.59,20.02,8.53,38.51,77.104
Wind,Norwegian,20,8.74,6.14,17.48,7.54,29.04,50.76
Insignia,Oceania,15,3.42,4,6.84,5.94,44.26,30.277
Nautica,Oceania,13,3.42,4,6.84,5.94,44.26,30.277
Regatta,Oceania,15,3.42,4,6.84,5.94,44.26,30.277
MarcoPolo,Orient,48,4.25,3.5,8.26,5.78,26.73,22.08
Arcadia,P&O,9,9.84,8.69,19.68,9.35,43.19,85
Artemis,P&O,29,5.3,5.2,11.78,7.54,38.2,45
Aurora,P&O,13,9.39,8.5,18.74,8.86,40.55,76
Oceana,P&O,10,9.75,9,20.16,8.56,38.19,77
Oriana,P&O,18,9.14,7.94,18.82,8.53,36.74,69.153
Ventura,P&O,5,15.32,12.2,35.74,9,32.18,115
Caribbean,Princess,9,13,11,26,9.51,44.62,116
Coral,Princess,11,9.87,9,19.74,9.64,46.42,91.627
Crown,Princess,7,15.57,12,31,9.51,37.42,116
Dawn,Princess,16,10.5,9,19.5,8.56,39.74,77.499
Diamond,Princess,9,13.37,12.38,26.74,9.51,42.26,113
Emerald,Princess,6,15.57,12,37.82,9.51,29.88,113
Golden,Princess,12,13,11,27.58,9.51,39.47,108.865
Grand,Princess,15,13,11.1,26,9.51,41.85,108.806
Island,Princess,10,9.87,9,19.74,9.64,46.42,91.627
Pacific,Princess,14,3.44,3.73,6.86,5.93,44.14,30.277
Regal,Princess,22,7.95,6.96,15.9,8.03,43.93,69.845
Royal,Princess,29,6,5.2,12,7.54,36.96,44.348
Saphire,Princess,9,13.37,12.38,26.74,9.51,42.26,113
Sea,Princess,8,9.75,9,19.5,8.56,39.74,77.499
Star,Princess,11,13.01,12,26.02,9.51,41.88,108.977
Sun,Princess,18,9.75,9,19.5,8.56,39.74,77.499
Tahitian,Princess,14,3.44,3.73,6.88,5.93,44.01,30.277
ExplorerII,Regent_Seven_Seas,27,0.88,1.46,3.94,4.36,31.73,12.5
Mariner,Regent_Seven_Seas,12,3.54,4.45,7,7.09,71.43,50
Navigator,Regent_Seven_Seas,14,2.45,3.24,4.9,5.6,67.35,33
PaulGauguin,Regent_Seven_Seas,16,1.6,2.11,3.2,5.13,60,19.2
Voyager,Regent_Seven_Seas,10,1.82,4.47,7,6.7,65.71,46
Adventure,Royal_Caribbean,12,15.57,11.85,31.14,10.2,44.32,138
Brilliance,Royal_Caribbean,11,10.5,8.48,25.01,9.62,36.02,90.09
Empress,Royal_Caribbean,23,8,6.71,20.2,6.92,24.04,48.563
Enchantment,Royal_Caribbean,16,9.75,7.6,19.5,9.16,38.02,74.137
Explorer,Royal_Caribbean,13,15.57,11.76,31.14,10.2,44.32,138
Freedom,Royal_Caribbean,7,18,13.6,43.7,11.12,36.16,158
Grandeur,Royal_Caribbean,17,9.75,7.6,19.5,9.16,38.02,74.137
Independence,Royal_Caribbean,5,18.17,13.6,36.34,11.12,44.03,160
Jewel,Royal_Caribbean,9,10.94,8.69,25.01,9.62,36.02,90.09
Legend,Royal_Caribbean,18,9,7.2,18,8.67,38.89,70
Liberty,Royal_Caribbean,6,18,13.6,43.7,11.25,36.16,158
Majesty,Royal_Caribbean,21,11.75,8.22,27.44,8.8,26.95,73.941
